"dunning_pp_fit"
"aug-cc-pv5z-pp-optri"
"aug-cc-pv5z-pp-rifit"
"aug-cc-pvdz-pp-optri"
"aug-cc-pvdz-pp-rifit"
"aug-cc-pvqz-pp-optri"
"aug-cc-pvqz-pp-rifit"
"aug-cc-pvtz-pp-optri"
"aug-cc-pvtz-pp-rifit"
"aug-cc-pwcv5z-pp-optri"
"aug-cc-pwcv5z-pp-rifit"
"aug-cc-pwcvdz-pp-optri"
"aug-cc-pwcvdz-pp-rifit"
"aug-cc-pwcvqz-pp-optri"
"aug-cc-pwcvqz-pp-rifit"
"aug-cc-pwcvtz-pp-optri"
"aug-cc-pwcvtz-pp-rifit"
"cc-pv5z-pp-rifit"
"cc-pvdz-pp-rifit"
"cc-pvqz-pp-rifit"
"cc-pvtz-pp-rifit"
"cc-pwcv5z-pp-rifit"
"cc-pwcvdz-pp-rifit"
"cc-pwcvqz-pp-rifit"
"cc-pwcvtz-pp-rifit"
