"ahlrichs_x2c"
"x2c-jfit"
"x2c-jfit-universal"
"x2c-qzvpall"
"x2c-qzvpall-2c"
"x2c-qzvpall-2c-s"
"x2c-qzvpall-s"
"x2c-qzvppall"
"x2c-qzvppall-2c"
"x2c-qzvppall-2c-s"
"x2c-qzvppall-s"
"x2c-sv(p)all"
"x2c-sv(p)all-2c"
"x2c-sv(p)all-s"
"x2c-svpall"
"x2c-svpall-2c"
"x2c-svpall-s"
"x2c-tzvpall"
"x2c-tzvpall-2c"
"x2c-tzvpall-s"
"x2c-tzvppall"
"x2c-tzvppall-2c"
"x2c-tzvppall-s"
