"Menu"
"2zapa-nr"
"2zapa-nr-cv"
"3-21g"
"3zapa-nr"
"3zapa-nr-cv"
"4-31g"
"4zapa-nr"
"4zapa-nr-cv"
"5-21g"
"5zapa-nr"
"5zapa-nr-cv"
"6-21g"
"6-31++g"
"6-31++g_st_"
"6-31++g_st__st_"
"6-31++g_st__st_-j"
"6-31+g"
"6-31+g_st_"
"6-31+g_st_-j"
"6-31+g_st__st_"
"6-311++g"
"6-311++g(2d,2p)"
"6-311++g(3df,3pd)"
"6-311++g_st_"
"6-311++g_st__st_"
"6-311++g_st__st_-j"
"6-311+g"
"6-311+g(2d,p)"
"6-311+g_st_"
"6-311+g_st_-j"
"6-311+g_st__st_"
"6-311g"
"6-311g(2df,2pd)"
"6-311g(d,p)"
"6-311g-j"
"6-311g_st_"
"6-311g_st__st_"
"6-311g_st__st_-rifit"
"6-311xxg(d,p)"
"6-31g"
"6-31g(2df,p)"
"6-31g(3df,3pd)"
"6-31g(d,p)"
"6-31g-blaudeau"
"6-31g-j"
"6-31g_st_"
"6-31g_st_-blaudeau"
"6-31g_st__st_"
"6-31g_st__st_-rifit"
"6zapa-nr"
"7zapa-nr"
"acv2z-j"
"acv3z-j"
"acv4z-j"
"admm-1"
"admm-2"
"admm-3"
"ahgbs-5"
"ahgbs-7"
"ahgbs-9"
"ahgbsp1-5"
"ahgbsp1-7"
"ahgbsp1-9"
"ahgbsp2-5"
"ahgbsp2-7"
"ahgbsp2-9"
"ahgbsp3-5"
"ahgbsp3-7"
"ahgbsp3-9"
"ahlrichs pvdz"
"ahlrichs tzv"
"ahlrichs vdz"
"ahlrichs vtz"
"ano-dk3"
"ano-pv5z"
"ano-pvdz"
"ano-pvqz"
"ano-pvtz"
"ano-r"
"ano-r0"
"ano-r1"
"ano-r2"
"ano-r3"
"ano-rcc"
"ano-rcc-mb"
"ano-rcc-vdz"
"ano-rcc-vdzp"
"ano-rcc-vqzp"
"ano-rcc-vtz"
"ano-rcc-vtzp"
"ano-vt-dz"
"ano-vt-qz"
"ano-vt-tz"
"apr-cc-pv(q+d)z"
"asigmadz"
"asigmaqz"
"asigmatz"
"atzp-zora"
"aug-admm-1"
"aug-admm-2"
"aug-admm-3"
"aug-ano-pv5z"
"aug-ano-pvdz"
"aug-ano-pvqz"
"aug-ano-pvtz"
"aug-cc-pcv5z"
"aug-cc-pcvdz"
"aug-cc-pcvdz-dk"
"aug-cc-pcvqz"
"aug-cc-pcvqz-dk"
"aug-cc-pcvtz"
"aug-cc-pcvtz-dk"
"aug-cc-pv(5+d)z"
"aug-cc-pv(d+d)z"
"aug-cc-pv(q+d)z"
"aug-cc-pv(t+d)z"
"aug-cc-pv5z"
"aug-cc-pv5z-dk"
"aug-cc-pv5z-optri"
"aug-cc-pv5z-pp"
"aug-cc-pv5z-pp-optri"
"aug-cc-pv5z-pp-rifit"
"aug-cc-pv5z-rifit"
"aug-cc-pv6z"
"aug-cc-pv6z-rifit"
"aug-cc-pv7z"
"aug-cc-pvdz"
"aug-cc-pvdz-dk"
"aug-cc-pvdz-dk3"
"aug-cc-pvdz-optri"
"aug-cc-pvdz-pp"
"aug-cc-pvdz-pp-optri"
"aug-cc-pvdz-pp-rifit"
"aug-cc-pvdz-rifit"
"aug-cc-pvdz-x2c"
"aug-cc-pvqz"
"aug-cc-pvqz-dk"
"aug-cc-pvqz-dk3"
"aug-cc-pvqz-optri"
"aug-cc-pvqz-pp"
"aug-cc-pvqz-pp-optri"
"aug-cc-pvqz-pp-rifit"
"aug-cc-pvqz-rifit"
"aug-cc-pvqz-x2c"
"aug-cc-pvtz"
"aug-cc-pvtz-dk"
"aug-cc-pvtz-dk3"
"aug-cc-pvtz-j"
"aug-cc-pvtz-optri"
"aug-cc-pvtz-pp"
"aug-cc-pvtz-pp-optri"
"aug-cc-pvtz-pp-rifit"
"aug-cc-pvtz-rifit"
"aug-cc-pvtz-x2c"
"aug-cc-pwcv5z"
"aug-cc-pwcv5z-dk"
"aug-cc-pwcv5z-pp"
"aug-cc-pwcv5z-pp-optri"
"aug-cc-pwcv5z-pp-rifit"
"aug-cc-pwcv5z-rifit"
"aug-cc-pwcvdz"
"aug-cc-pwcvdz-dk3"
