"dunning_sf"
"cc-pv5z(fi_sl_sf_sl_fw)"
"cc-pv5z(fi_sl_sf_sl_lc)"
"cc-pv5z(fi_sl_sf_sl_sc)"
"cc-pv5z(pt_sl_sf_sl_fw)"
"cc-pv5z(pt_sl_sf_sl_lc)"
"cc-pv5z(pt_sl_sf_sl_sc)"
"cc-pvdz(fi_sl_sf_sl_fw)"
"cc-pvdz(fi_sl_sf_sl_lc)"
"cc-pvdz(fi_sl_sf_sl_sc)"
"cc-pvdz(pt_sl_sf_sl_fw)"
"cc-pvdz(pt_sl_sf_sl_lc)"
"cc-pvdz(pt_sl_sf_sl_sc)"
"cc-pvqz(fi_sl_sf_sl_fw)"
"cc-pvqz(fi_sl_sf_sl_lc)"
"cc-pvqz(fi_sl_sf_sl_sc)"
"cc-pvqz(pt_sl_sf_sl_fw)"
"cc-pvqz(pt_sl_sf_sl_lc)"
"cc-pvqz(pt_sl_sf_sl_sc)"
"cc-pvtz(fi_sl_sf_sl_fw)"
"cc-pvtz(fi_sl_sf_sl_lc)"
"cc-pvtz(fi_sl_sf_sl_sc)"
"cc-pvtz(pt_sl_sf_sl_fw)"
"cc-pvtz(pt_sl_sf_sl_lc)"
"cc-pvtz(pt_sl_sf_sl_sc)"
