"dunning_fit"
"aug-cc-pv5z-optri"
"aug-cc-pv5z-rifit"
"aug-cc-pv6z-rifit"
"aug-cc-pvdz-optri"
"aug-cc-pvdz-rifit"
"aug-cc-pvqz-optri"
"aug-cc-pvqz-rifit"
"aug-cc-pvtz-optri"
"aug-cc-pvtz-rifit"
"aug-cc-pwcv5z-rifit"
"aug-cc-pwcvdz-rifit"
"aug-cc-pwcvqz-rifit"
"aug-cc-pwcvtz-rifit"
"cc-pv5z-jkfit"
"cc-pv5z-rifit"
"cc-pv6z-rifit"
"cc-pvdz-f12-optri+"
"cc-pvdz-rifit"
"cc-pvqz-f12-optri+"
"cc-pvqz-jkfit"
"cc-pvqz-rifit"
"cc-pvtz-f12-optri+"
"cc-pvtz-jkfit"
"cc-pvtz-rifit"
"cc-pwcv5z-rifit"
"cc-pwcvdz-rifit"
"cc-pwcvqz-rifit"
"cc-pwcvtz-rifit"
