"truhlar"
"apr-cc-pv(q+d)z"
"jul-cc-pv(d+d)z"
"jul-cc-pv(q+d)z"
"jul-cc-pv(t+d)z"
"jun-cc-pv(d+d)z"
"jun-cc-pv(q+d)z"
"jun-cc-pv(t+d)z"
"maug-cc-pv(d+d)z"
"maug-cc-pv(q+d)z"
"maug-cc-pv(t+d)z"
"may-cc-pv(q+d)z"
"may-cc-pv(t+d)z"
