"jensen"
"admm-1"
"admm-2"
"admm-3"
"aug-admm-1"
"aug-admm-2"
"aug-admm-3"
"aug-ccx-5z"
"aug-ccx-dz"
"aug-ccx-qz"
"aug-ccx-tz"
"aug-pc-0"
"aug-pc-1"
"aug-pc-2"
"aug-pc-3"
"aug-pc-4"
"aug-pch-1"
"aug-pch-2"
"aug-pch-3"
"aug-pch-4"
"aug-pcj-0"
"aug-pcj-0_2006"
"aug-pcj-1"
"aug-pcj-1_2006"
"aug-pcj-2"
"aug-pcj-2_2006"
"aug-pcj-3"
"aug-pcj-3_2006"
"aug-pcj-4"
"aug-pcj-4_2006"
"aug-pcs-0"
"aug-pcs-1"
"aug-pcs-2"
"aug-pcs-3"
"aug-pcs-4"
"aug-pcseg-0"
"aug-pcseg-1"
"aug-pcseg-2"
"aug-pcseg-3"
"aug-pcseg-4"
"aug-pcsseg-0"
"aug-pcsseg-1"
"aug-pcsseg-2"
"aug-pcsseg-3"
"aug-pcsseg-4"
"aug-pcx-1"
"aug-pcx-2"
"aug-pcx-3"
"aug-pcx-4"
"ccx-5z"
"ccx-dz"
"ccx-qz"
"ccx-tz"
"pc-0"
"pc-1"
"pc-2"
"pc-3"
"pc-4"
"pch-1"
"pch-2"
"pch-3"
"pch-4"
"pcj-0"
"pcj-0_2006"
"pcj-1"
"pcj-1_2006"
"pcj-2"
"pcj-2_2006"
"pcj-3"
"pcj-3_2006"
"pcj-4"
"pcj-4_2006"
"pcs-0"
"pcs-1"
"pcs-2"
"pcs-3"
"pcs-4"
"pcseg-0"
"pcseg-1"
"pcseg-2"
"pcseg-3"
"pcseg-4"
"pcsseg-0"
"pcsseg-1"
"pcsseg-2"
"pcsseg-3"
"pcsseg-4"
"pcx-1"
"pcx-2"
"pcx-3"
"pcx-4"
