"dunning_dk3"
"aug-cc-pvdz-dk3"
"aug-cc-pvqz-dk3"
"aug-cc-pvtz-dk3"
"aug-cc-pwcvdz-dk3"
"aug-cc-pwcvqz-dk3"
"aug-cc-pwcvtz-dk3"
