"aug-cc-pVDZ-X2C.1","aug-cc-pVDZ-X2C","dunning_x2c/aug-cc-pVDZ-X2C.1.element.json"
"aug-cc-pVQZ-X2C.1","aug-cc-pVQZ-X2C","dunning_x2c/aug-cc-pVQZ-X2C.1.element.json"
"aug-cc-pVTZ-X2C.1","aug-cc-pVTZ-X2C","dunning_x2c/aug-cc-pVTZ-X2C.1.element.json"
"aug-cc-pwCVDZ-X2C.1","aug-cc-pwCVDZ-X2C","dunning_x2c/aug-cc-pwCVDZ-X2C.1.element.json"
"aug-cc-pwCVQZ-X2C.1","aug-cc-pwCVQZ-X2C","dunning_x2c/aug-cc-pwCVQZ-X2C.1.element.json"
"aug-cc-pwCVTZ-X2C.1","aug-cc-pwCVTZ-X2C","dunning_x2c/aug-cc-pwCVTZ-X2C.1.element.json"
"cc-pVDZ-X2C.1","cc-pVDZ-X2C","dunning_x2c/cc-pVDZ-X2C.1.element.json"
"cc-pVQZ-X2C.1","cc-pVQZ-X2C","dunning_x2c/cc-pVQZ-X2C.1.element.json"
"cc-pVTZ-X2C.1","cc-pVTZ-X2C","dunning_x2c/cc-pVTZ-X2C.1.element.json"
"cc-pwCVDZ-X2C.1","cc-pwCVDZ-X2C","dunning_x2c/cc-pwCVDZ-X2C.1.element.json"
"cc-pwCVQZ-X2C.1","cc-pwCVQZ-X2C","dunning_x2c/cc-pwCVQZ-X2C.1.element.json"
"cc-pwCVTZ-X2C.1","cc-pwCVTZ-X2C","dunning_x2c/cc-pwCVTZ-X2C.1.element.json"
