"dunning_pp"
"aug-cc-pv5z-pp"
"aug-cc-pvdz-pp"
"aug-cc-pvqz-pp"
"aug-cc-pvtz-pp"
"aug-cc-pwcv5z-pp"
"aug-cc-pwcvdz-pp"
"aug-cc-pwcvqz-pp"
"aug-cc-pwcvtz-pp"
"cc-pv5z-pp"
"cc-pvdz-pp"
"cc-pvqz-pp"
"cc-pvtz-pp"
"cc-pwcv5z-pp"
"cc-pwcvdz-pp"
"cc-pwcvqz-pp"
"cc-pwcvtz-pp"
