"dunning_f12_fit"
"cc-pcvdz-f12-optri"
"cc-pcvdz-f12-rifit"
"cc-pcvqz-f12-optri"
"cc-pcvqz-f12-rifit"
"cc-pcvtz-f12-optri"
"cc-pcvtz-f12-rifit"
"cc-pvdz-f12-optri"
"cc-pvqz-f12-optri"
"cc-pvtz-f12-optri"
