"dunning_hay"
"dz (dunning-hay)"
"dz + double rydberg (dunning-hay)"
"dz + rydberg (dunning-hay)"
"dzp (dunning-hay)"
"dzp + diffuse (dunning-hay)"
"dzp + rydberg (dunning-hay)"
"sv (dunning-hay)"
"sv + double rydberg (dunning-hay)"
"sv + rydberg (dunning-hay)"
"svp (dunning-hay)"
"svp + diffuse (dunning-hay)"
"svp + diffuse + rydberg (dunning-hay)"
"svp + rydberg (dunning-hay)"
"tz (dunning-hay)"
