"dunning"
"aug-cc-pcv5z"
"aug-cc-pcvdz"
"aug-cc-pcvqz"
"aug-cc-pcvtz"
"aug-cc-pv(5+d)z"
"aug-cc-pv(d+d)z"
"aug-cc-pv(q+d)z"
"aug-cc-pv(t+d)z"
"aug-cc-pv5z"
"aug-cc-pv6z"
"aug-cc-pv7z"
"aug-cc-pvdz"
"aug-cc-pvqz"
"aug-cc-pvtz"
"aug-cc-pwcv5z"
"aug-cc-pwcvdz"
"aug-cc-pwcvqz"
"aug-cc-pwcvtz"
"aug-pv7z"
"aug-seg-cc-pv5z-pp"
"aug-seg-cc-pvdz-pp"
"aug-seg-cc-pvqz-pp"
"aug-seg-cc-pvtz-pp"
"aug-seg-cc-pwcv5z-pp"
"aug-seg-cc-pwcvdz-pp"
"aug-seg-cc-pwcvqz-pp"
"aug-seg-cc-pwcvtz-pp"
"cc-pcv5z"
"cc-pcvdz"
"cc-pcvqz"
"cc-pcvtz"
"cc-pv(5+d)z"
"cc-pv(d+d)z"
"cc-pv(q+d)z"
"cc-pv(t+d)z"
"cc-pv5z"
"cc-pv6z"
"cc-pv8z"
"cc-pv9z"
"cc-pvdz"
"cc-pvdz(seg-opt)"
"cc-pvqz"
"cc-pvqz(seg-opt)"
"cc-pvtz"
"cc-pvtz(seg-opt)"
"cc-pwcv5z"
"cc-pwcvdz"
"cc-pwcvqz"
"cc-pwcvtz"
"d-aug-cc-pv5z"
"d-aug-cc-pv6z"
"d-aug-cc-pvdz"
"d-aug-cc-pvqz"
"d-aug-cc-pvtz"
"pv6z"
"pv7z"
"seg-cc-pv5z-pp"
"seg-cc-pvdz-pp"
"seg-cc-pvqz-pp"
"seg-cc-pvtz-pp"
"seg-cc-pwcv5z-pp"
"seg-cc-pwcvdz-pp"
"seg-cc-pwcvqz-pp"
"seg-cc-pwcvtz-pp"
