"lanl"
"lanl08"
"lanl08(d)"
"lanl08(f)"
"lanl08+"
"lanl2dz"
"lanl2dz ecp"
"lanl2dzdp"
"lanl2tz"
"lanl2tz(f)"
"lanl2tz+"
"modified-lanl2dz"
