"dgauss"
"dgauss-a1-dftjfit"
"dgauss-a1-dftxfit"
"dgauss-a2-dftjfit"
"dgauss-a2-dftxfit"
"dgauss-dzvp"
"dgauss-dzvp2"
"dgauss-tzvp"
