"ahlrichs_fit"
"def2-qzvp-rifit"
"def2-qzvpp-rifit"
"def2-qzvppd-rifit"
"def2-sv(p)-jkfit"
"def2-sv(p)-rifit"
"def2-svp-rifit"
"def2-svpd-rifit"
"def2-tzvp-rifit"
"def2-tzvpd-rifit"
"def2-tzvpp-rifit"
"def2-tzvppd-rifit"
"def2-universal-jfit"
"def2-universal-jkfit"
