"31PPG-H-BSE.0","31PPG-H-BSE","pople/bse_v0/31PPG-H-BSE.0.element.json"
"6-31PG.0","6-31PG","pople/bse_v0/6-31PG.0.element.json"
"31PPG.1","31PPG","pople/31PPG.1.element.json"
"6-31PG.1","6-31PG","pople/6-31PG.1.element.json"
"31G.0","31G","pople/bse_v0/31G.0.element.json"
"31PPG-H-BSE.0","31PPG-H-BSE","pople/bse_v0/31PPG-H-BSE.0.element.json"
"6-31PGS.0","6-31PGS","pople/bse_v0/6-31PGS.0.element.json"
"31PPG.1","31PPG","pople/31PPG.1.element.json"
"6-31PGS.1","6-31PGS","pople/6-31PGS.1.element.json"
"31PPGSS-H-BSE.0","31PPGSS-H-BSE","pople/bse_v0/31PPGSS-H-BSE.0.element.json"
"6-31PGS.0","6-31PGS","pople/bse_v0/6-31PGS.0.element.json"
"31PPGSS.1","31PPGSS","pople/31PPGSS.1.element.json"
"6-31PGS.1","6-31PGS","pople/6-31PGS.1.element.json"
